Timestep,a_0,b
8,-260.10376171270536361,2054399451.2352702618
8,-260.10807733859377322,2054400731.5988266468
9,0,1718145963.4816973209
9,-9991.2758775965885434,1796047925.7249202728
9,-6475.4855861585974708,1825060205.8372292519
9,-261.91616837024599818,1878709087.0756876469
9,-260.10376171270536361,2040413975.7017531395
9,-260.10807733859377322,2040415228.9814198017
10,0,1708688129.7372689247
10,-9991.2758775965885434,1791837724.541852951
10,-6475.4855861585974708,1817326441.3359284401
10,-261.91616837024599818,1864748017.8900842667
10,-260.10376171270536361,2026458981.627187252
10,-260.10807733859377322,2026460207.2702317238
11,0,1699391737.9578957558
11,-9991.2758775965885434,1786155092.6630129814
11,-6475.4855861585974708,1808709117.7312259674
11,-261.91616837024599818,1850944121.5220093727
11,-260.10376171270536361,2012661382.1818523407
11,-260.10807733859377322,2012662579.9438316822
12,0,1689076138.6985456944
12,-9991.2758775965885434,1777457961.8563175201
12,-6475.4855861585974708,1797647445.2956712246
12,-261.91616837024599818,1835703521.6972272396
12,-260.10376171270536361,1997430214.9200613499
12,-260.10807733859377322,1997431374.7579660416
13,0,1674643993.5339183807
13,-9991.2758775965885434,1761462378.3672258854
13,-6475.4855861585974708,1779819987.7539031506
13,-261.91616837024599818,1814638540.491394043
13,-260.10376171270536361,1976388221.2417445183
13,-260.10807733859377322,1976389300.5738017559
14,0,1660383289.4490551949
14,-9991.2758775965885434,1744604707.7895066738
14,-6475.4855861585974708,1761513757.4936618805
14,-261.91616837024599818,1793772230.3554768562
14,-260.10376171270536361,1955544644.7530786991
14,-260.10807733859377322,1955545644.5562634468
15,0,1645612814.20702672
15,-9991.2758775965885434,1726360173.5115361214
15,-6475.4855861585974708,1742060103.8246569633
15,-261.91616837024599818,1772181667.7650010586
15,-260.10376171270536361,1933978651.2959904671
15,-260.10807733859371638,1933979566.0791535378
16,0,1630055739.5585389137
16,-9991.2758775965885434,1706654550.0201518536
16,-6475.4855861585974708,1721293932.4598572254
16,-261.91616837024599818,1749541163.0792176723
16,-260.10376171270536361,1911364528.24386549
16,-260.10807733859360269,1911365351.3820991516
17,0,1613067000.1121320724
17,-9991.2758775965903624,1684611323.902718544
17,-6475.4855861585974708,1698398098.7355251312
17,-261.91616837024599818,1725138495.847274065
17,-260.10376171270536361,1886989785.9725368023
17,-260.10813686038017067,1886990516.9267420769
18,0,1595075511.8734557629
18,-9990.6942694363624469,1661055514.341083765
18,-6475.4855861585974708,1674091201.8903782368
18,-261.91616837024599818,1699503950.3862495422
18,-260.10376171270536361,1861384694.2163720131
18,-260.1248139675768698,1861387622.6804904938
19,0,1576149074.3501121998
19,-9989.3648793558422767,1636244337.0400469303
19,-6475.4855861585983803,1648583613.076864481
19,-261.91616837024599818,1672764734.829875946
19,-260.10376171270536361,1834676349.7540345192
19,-260.16839068902135068,1834683567.8399934769
20,0,1556952150.7137589455
20,-9986.9106207456570701,1611561264.5500326157
20,-6475.4855861586001993,1623037435.1696436405
20,-261.91591218735771918,1645690989.0297589302
20,-260.10376171270536361,1807633848.0237658024
20,-260.21713642655987542,1807643405.6232972145
21,0,1535507434.0322036743
21,-9947.6424829826264613,1580202984.9024422169
21,-6475.4855861586011088,1592352685.5865292549
21,-261.91276165561350808,1616170780.6628103256
21,-260.10376171270536361,1778145606.3409683704
21,-260.24270049680916372,1778153388.025192976
22,0,1511536567.3878471851
22,-9163.1335905070282024,1539507299.3917570114
22,-6475.4855861586029278,1554934257.7438707352
22,-261.89579579437599932,1583975897.2686092854
22,-260.10376171270536361,1745982080.9074571133
22,-260.54283136637656071,1745993646.8911738396
23,0,1487526889.0541908741
23,-8174.1096520153332676,1504659119.5966048241
23,-7363.1382176198058005,1524318554.9073853493
23,-261.80580027691377154,1551926857.993180275
23,-260.10376171270536361,1713961842.5516860485
23,-8174.1096520153332676,1719207169.7110641003
24,0,1463754369.2617621422
24,-8486.5656989251201594,1476725313.949434042
24,-8820.5727447234185092,1503036350.435274601
24,-261.43939827900982209,1520493083.7584667206
24,-260.10376171270536361,1682551442.7619581223
24,-7565.3769118765685562,1684414700.489802599
25,0,1440210454.6964251995
25,-7631.4284404701920721,1461650437.7790389061
25,-6956.2959192649750548,1493773524.4199430943
25,-260.71200604979469517,1490097453.544154644
25,-260.10376171270536361,1652170608.0133206844
25,-6956.1660298846099977,1655858836.8220427036
26,0,1416421859.7325325012
26,-5663.148188592279439,1449089772.4752316475
26,-261.00080443292108612,1460266542.7983958721
26,-257.32046296890200665,1460224800.3268642426
26,-260.10376171270536361,1622343895.7527210712
26,-260.82954590047052079,1622350045.8702316284
27,0,1393208254.7844986916
27,-1479.0720899843024654,1432032610.6331758499
27,-260.57865474488374957,1431921095.3168170452
27,-212.10028774176456068,1431069716.3268084526
27,-260.10376171270536361,1594000998.8349630833
27,-260.30665802523481034,1594002186.6046602726
28,0,1371568707.172495842
28,-261.91814408177418727,1406283951.6503255367
28,-255.80204889865342466,1406210233.0151810646
28,-212.1002877417645891,1406063269.640679121
28,-260.10376171270536361,1568347025.0947179794
28,-260.11528677895540795,1568347234.1766331196
29,0,1350427347.1129541397
29,-261.91814408177418727,1382725512.2972040176
29,-194.30798226993132971,1381021315.6916809082
29,-201.158448689216101,1382696144.8586544991
29,-260.10376171270536361,1544752524.7123653889
29,-260.10447952850921638,1544752616.2467031479
30,0,1331873020.0930166245
30,-261.91814408177418727,1363997185.9956088066
30,-164.67935515114533018,1360719022.7240772247
30,-201.158448689216101,1363780835.790692091
30,-260.10376171270536361,1525973156.4825639725
30,-260.10447952850921638,1525973261.2627315521
31,0,1314392851.1423432827
31,-261.91814408177418727,1348599142.7674558163
31,-164.67935515114533018,1344164207.9966933727
31,-201.158448689216101,1347639525.8987009525
31,-260.10376171270536361,1510509394.801874876
31,-260.10447952850921638,1510509519.4239244461
32,0,1296790221.4576113224
32,-261.91814408177418727,1336443740.487752676
32,-164.67935515114533018,1329618008.8155214787
32,-201.158448689216101,1333969455.0229868889
32,-260.10376171270536361,1498264572.8641138077
32,-260.10447952850921638,1498264726.6679456234
33,0,1279056021.4948194027
33,-261.91814408177418727,1325739576.9258828163
33,-164.67935515114533018,1315948759.5273883343
33,-201.15844868921604416,1321391500.5606160164
33,-260.10376171270536361,1487459724.8884861469
33,-260.10447952850921638,1487459912.3085756302
34,0,1260342552.3346934319
34,-261.91814408177418727,1314573056.8363399506
34,-164.67935515114533018,1301673226.4927887917
34,-203.590388258420802,1308616598.1171426773
34,-260.10376171270536361,1476188095.4323894978
34,-260.10447952850921638,1476188317.7701051235
35,0,1239228600.7422869205
35,-261.91814408177418727,1300566763.8100075722
35,-164.67935515114533018,1284873508.5619997978
35,-216.560732627512607,1295184202.8439381123
35,-260.10376171270536361,1462077051.526119709
35,-260.10447952850921638,1462077307.3529849052
36,0,1218034200.413410902
36,-261.91814408177418727,1287223040.6679265499
36,-175.65797882788834272,1270993892.7873859406
36,-225.9998296581950683,1282084654.5670959949
36,-260.10376171270536361,1448623579.9453687668
36,-260.10447952850921638,1448623871.3560137749
37,0,1196588263.285592556
37,-261.91814408177418727,1271893505.731208086
37,-192.08654375342078424,1258224105.6070187092
37,-237.30425829311991492,1268022200.0012197495
37,-260.10376171270536361,1433196355.0504596233
37,-260.10447952850921638,1433196677.2714412212
38,0,1175389011.029103756
38,-261.91814408177418727,1254205126.0178594589
38,-192.08654375342078424,1239453256.039085865
38,-247.7391154945889582,1252115061.1971120834
38,-260.10376171270536361,1415428787.0775980949
38,-260.10447952850921638,1415429132.907255888
39,0,1153561014.3244271278
39,-261.91814408177418727,1233829307.0916032791
39,-192.08654375342078424,1218570731.6762506962
39,-247.73911549458887293,1231584565.572031498
39,-260.10376171270536361,1394987217.5802993774
39,-260.10447952850921638,1394987580.7197296619
40,0,1131834716.7099680901
40,-261.91814408177418727,1211631024.5311465263
40,-192.08654375342078424,1196381437.4926006794
40,-251.44928694400007885,1210130041.0062603951
40,-260.10376171270536361,1372736386.2429201603
40,-260.10447952850921638,1372736761.4306797981
41,0,1110451705.6513876915
41,-261.91814408177418727,1188671638.8176820278
41,-192.08654375342078424,1173723422.9077808857
41,-255.406803156705422,1187991781.3828547001
41,-260.10376171270536361,1349732090.4003064632
41,-260.10447952850921638,1349732474.6076247692
42,0,1089585358.170342207
42,-261.91814408177418727,1165270286.8794646263
42,-192.08654375342078424,1150872283.6378757954
42,-601.20645437578184556,1239137499.2357490063
42,-260.10376171270536361,1326292592.5498113632
42,-260.10447952850921638,1326292982.9599161148
43,0,1069540509.016728878
43,-261.91814408177418727,1141877016.6321172714
43,-192.08654375342078424,1128211716.4067430496
43,-756.14449137552776392,1256103805.1863338947
43,-260.10376171270536361,1302868738.4300396442
43,-260.10447952850921638,1302869131.0844590664
44,0,1049671658.1520459652
44,-261.91814408177418727,1117898376.4091329575
44,-192.08654375342078424,1105162611.7012324333
44,-756.14449137552776392,1239790737.4779920578
44,-260.10376171270536361,1278866869.9666259289
44,-260.10447952850921638,1278867260.4698150158
45,0,1030106729.5643888712
45,-261.91814408177418727,1093454454.4360132217
45,-192.08654375342078424,1081865117.776695013
45,-756.14449137552776392,1221649860.3334112167
45,-260.10376171270536361,1254407607.1963887215
45,-260.10447952850921638,1254407991.277215004
46,0,1010348110.9820996523
46,-261.91814408177418727,1068063977.4325150251
46,-192.08654375342078424,1057832003.785051465
46,-756.14449137552776392,1201205116.6751489639
46,-260.10376171270536361,1229011372.2561018467
46,-260.10447952850921638,1229011745.6448686123
47,0,989982323.71878433228
47,-261.91814408177418727,1041500939.4218831062
47,-192.08654375342078424,1032794797.4774069786
47,-756.14449137552776392,1178592108.506572485
47,-260.10376171270536361,1202451025.1473834515
47,-260.10447952850921638,1202451384.4342782497
48,0,970464378.43764197826
48,-261.91814408177418727,1015602371.8301206827
48,-192.08654375342078424,1008441823.6574872732
48,-756.14449137552776392,1156087774.4547009468
48,-260.10376171270536361,1176560098.4223036766
48,-260.10447952850921638,1176560442.5110538006
49,0,950448436.9894837141
49,-261.91814408177418727,988866897.99893021584
49,-192.08654375342078424,983356130.54944777489
49,-756.14449137552776392,1132142481.4165673256
49,-260.10376171270536361,1149837582.0155861378
49,-260.10447952850921638,1149837909.4870493412
50,0,930549129.28623616695
50,-261.91814408177418727,962039446.46741914749
50,-192.08654375342078424,958234041.43081820011
50,-756.14449137552776392,1107732699.6245172024
50,-260.10376171270536361,1123026701.4223330021
50,-260.10447952850921638,1123027011.569901228
51,0,911046543.03280484676
51,-261.91814408177418727,935530905.95408535004
51,-192.08654375342078424,933441212.17282319069
51,-756.14449137552776392,1083387698.945445776
51,-260.10376171270536361,1096536937.4007034302
51,-260.10447952850921638,1096537230.1240813732
