Region,Technology,Fuel,Type,Unit,Year,Value
ZS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2025,6000.0
MTKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2025,6000.0
Dakar,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2030,6000.0
Diourbel,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2030,6000.0
Thies,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2030,6000.0
LS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2030,6000.0
FKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2030,6000.0
ZS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2030,6000.0
MTKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2030,6000.0
Dakar,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2035,6000.0
Diourbel,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2035,6000.0
Thies,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2035,6000.0
LS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2035,6000.0
FKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2035,6000.0
ZS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2035,6000.0
MTKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2035,6000.0
Dakar,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2040,6000.0
Diourbel,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2040,6000.0
Thies,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2040,6000.0
LS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2040,6000.0
FKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2040,6000.0
ZS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2040,6000.0
MTKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2040,6000.0
Dakar,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2045,6000.0
Diourbel,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2045,6000.0
Thies,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2045,6000.0
LS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2045,6000.0
FKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2045,6000.0
ZS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2045,6000.0
MTKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2045,6000.0
Dakar,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2050,6000.0
Diourbel,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2050,6000.0
Thies,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2050,6000.0
LS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2050,6000.0
FKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2050,6000.0
ZS,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2050,6000.0
MTKK,P_Nuclear,Nuclear,Capital Costs,MEUR/GW,2050,6000.0
Dakar,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2022,1800.0
Diourbel,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2022,1800.0
Thies,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2022,1800.0
LS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2022,1800.0
FKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2022,1800.0
ZS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2022,1800.0
MTKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2022,1800.0
Dakar,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2022,3500.0
Diourbel,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2022,3500.0
Thies,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2022,3500.0
LS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2022,3500.0
FKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2022,3500.0
ZS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2022,3500.0
MTKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2022,3500.0
Dakar,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2025,1800.0
Diourbel,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2025,1800.0
Thies,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2025,1800.0
LS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2025,1800.0
FKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2025,1800.0
ZS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2025,1800.0
MTKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2025,1800.0
Dakar,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2025,3500.0
Diourbel,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2025,3500.0
Thies,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2025,3500.0
LS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2025,3500.0
FKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2025,3500.0
ZS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2025,3500.0
MTKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2025,3500.0
Dakar,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2030,1800.0
Diourbel,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2030,1800.0
Thies,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2030,1800.0
LS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2030,1800.0
FKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2030,1800.0
ZS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2030,1800.0
MTKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2030,1800.0
Dakar,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2030,3500.0
Diourbel,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2030,3500.0
Thies,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2030,3500.0
LS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2030,3500.0
FKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2030,3500.0
ZS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2030,3500.0
MTKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2030,3500.0
Dakar,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2035,1800.0
Diourbel,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2035,1800.0
Thies,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2035,1800.0
LS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2035,1800.0
FKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2035,1800.0
ZS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2035,1800.0
MTKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2035,1800.0
Dakar,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2035,3500.0
Diourbel,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2035,3500.0
Thies,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2035,3500.0
LS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2035,3500.0
FKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2035,3500.0
ZS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2035,3500.0
MTKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2035,3500.0
Dakar,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2040,1800.0
Diourbel,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2040,1800.0
Thies,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2040,1800.0
LS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2040,1800.0
FKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2040,1800.0
ZS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2040,1800.0
MTKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2040,1800.0
Dakar,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2040,3500.0
Diourbel,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2040,3500.0
Thies,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2040,3500.0
LS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2040,3500.0
FKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2040,3500.0
ZS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2040,3500.0
MTKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2040,3500.0
Dakar,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2045,1800.0
Diourbel,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2045,1800.0
Thies,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2045,1800.0
LS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2045,1800.0
FKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2045,1800.0
ZS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2045,1800.0
MTKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2045,1800.0
Dakar,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2045,3500.0
Diourbel,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2045,3500.0
Thies,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2045,3500.0
LS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2045,3500.0
FKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2045,3500.0
ZS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2045,3500.0
MTKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2045,3500.0
Dakar,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2050,1800.0
Diourbel,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2050,1800.0
Thies,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2050,1800.0
LS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2050,1800.0
FKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2050,1800.0
ZS,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2050,1800.0
MTKK,P_Coal_Lignite,Lignite,Capital Costs,MEUR/GW,2050,1800.0
Dakar,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2050,3500.0
Diourbel,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2050,3500.0
Thies,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2050,3500.0
LS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2050,3500.0
FKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2050,3500.0
ZS,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2050,3500.0
MTKK,P_Coal_Lignite_CCS,Lignite,Capital Costs,MEUR/GW,2050,3500.0
Dakar,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,698.032423533882
Diourbel,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,698.032423533882
Thies,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,698.032423533882
LS,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,698.032423533882
FKK,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,698.032423533882
ZS,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,698.032423533882
MTKK,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,698.032423533882
Dakar,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2022,1500.0
Diourbel,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2022,1500.0
Thies,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2022,1500.0
LS,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2022,1500.0
FKK,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2022,1500.0
ZS,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2022,1500.0
MTKK,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2022,1500.0
Dakar,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2022,619.872578610812
Diourbel,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2022,619.872578610812
Thies,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2022,619.872578610812
LS,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2022,619.872578610812
FKK,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2022,619.872578610812
ZS,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2022,619.872578610812
MTKK,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2022,619.872578610812
Dakar,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,635.677340788036
Diourbel,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,635.677340788036
Thies,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,635.677340788036
LS,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,635.677340788036
FKK,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,635.677340788036
ZS,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,635.677340788036
MTKK,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2022,635.677340788036
Dakar,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,698.032423533882
Diourbel,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,698.032423533882
Thies,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,698.032423533882
LS,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,698.032423533882
FKK,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,698.032423533882
ZS,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,698.032423533882
MTKK,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,698.032423533882
Dakar,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2025,1500.0
Diourbel,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2025,1500.0
Thies,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2025,1500.0
LS,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2025,1500.0
FKK,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2025,1500.0
ZS,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2025,1500.0
MTKK,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2025,1500.0
Dakar,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2025,619.872578610812
Diourbel,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2025,619.872578610812
Thies,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2025,619.872578610812
LS,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2025,619.872578610812
FKK,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2025,619.872578610812
ZS,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2025,619.872578610812
MTKK,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2025,619.872578610812
Dakar,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,635.677340788036
Diourbel,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,635.677340788036
Thies,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,635.677340788036
LS,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,635.677340788036
FKK,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,635.677340788036
ZS,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,635.677340788036
MTKK,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2025,635.677340788036
Dakar,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,698.032423533882
Diourbel,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,698.032423533882
Thies,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,698.032423533882
LS,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,698.032423533882
FKK,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,698.032423533882
ZS,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,698.032423533882
MTKK,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,698.032423533882
Dakar,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2030,1500.0
Diourbel,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2030,1500.0
Thies,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2030,1500.0
LS,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2030,1500.0
FKK,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2030,1500.0
ZS,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2030,1500.0
MTKK,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2030,1500.0
Dakar,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2030,619.872578610812
Diourbel,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2030,619.872578610812
Thies,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2030,619.872578610812
LS,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2030,619.872578610812
FKK,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2030,619.872578610812
ZS,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2030,619.872578610812
MTKK,P_Gas_Engines,Gas_Synth,Capital Costs,MEUR/GW,2030,619.872578610812
Dakar,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,635.677340788036
Diourbel,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,635.677340788036
Thies,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,635.677340788036
LS,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,635.677340788036
FKK,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,635.677340788036
ZS,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,635.677340788036
MTKK,P_Gas_OCGT,Gas_Synth,Capital Costs,MEUR/GW,2030,635.677340788036
Dakar,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2035,698.032423533882
Diourbel,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2035,698.032423533882
Thies,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2035,698.032423533882
LS,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2035,698.032423533882
FKK,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2035,698.032423533882
ZS,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2035,698.032423533882
MTKK,P_Gas_CCGT,Gas_Synth,Capital Costs,MEUR/GW,2035,698.032423533882
Dakar,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2035,1500.0
Diourbel,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2035,1500.0
Thies,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2035,1500.0
LS,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2035,1500.0
FKK,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2035,1500.0
ZS,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2035,1500.0
MTKK,P_Gas_CCS,Gas_Synth,Capital Costs,MEUR/GW,2035,1500.0
